x	y	xdot	ydot	theta	thetadot	cl	cr
1.642415809631347656e+01	2.436809730529785156e+01	0.000000000000000000e+00	-3.270000219345092773e-01	5.758746266365051270e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.642435646057128906e+01	2.436001205444335938e+01	1.141458190977573395e-02	-4.831026494503021240e-01	5.757288336753845215e-01	-7.756678387522697449e-03	0.000000000000000000e+00	0.000000000000000000e+00
1.642474365234375000e+01	2.434933471679687500e+01	2.283001318573951721e-02	-6.392073035240173340e-01	5.754587650299072266e-01	-1.551361009478569031e-02	0.000000000000000000e+00	0.000000000000000000e+00
1.642531776428222656e+01	2.433605957031250000e+01	3.424789384007453918e-02	-7.953161597251892090e-01	5.750629305839538574e-01	-2.327068336308002472e-02	0.000000000000000000e+00	0.000000000000000000e+00
1.642608261108398438e+01	2.432018852233886719e+01	4.566974937915802002e-02	-9.514315128326416016e-01	5.745403170585632324e-01	-3.102783858776092529e-02	0.000000000000000000e+00	0.000000000000000000e+00
1.642703628540039062e+01	2.430171966552734375e+01	5.709706619381904602e-02	-1.107555508613586426e+00	5.738899707794189453e-01	-3.878504782915115356e-02	0.000000000000000000e+00	0.000000000000000000e+00
1.642818069458007812e+01	2.428065109252929688e+01	6.853131949901580811e-02	-1.263690114021301270e+00	5.731115937232971191e-01	-4.654229059815406799e-02	0.000000000000000000e+00	0.000000000000000000e+00
1.642951583862304688e+01	2.425697898864746094e+01	7.997396588325500488e-02	-1.419837951660156250e+00	5.722046494483947754e-01	-5.429954081773757935e-02	0.000000000000000000e+00	0.000000000000000000e+00
1.643103981018066406e+01	2.423070716857910156e+01	9.142642468214035034e-02	-1.576001167297363281e+00	5.711688995361328125e-01	-6.205677986145019531e-02	0.000000000000000000e+00	0.000000000000000000e+00
1.643275642395019531e+01	2.420183372497558594e+01	1.028901040554046631e-01	-1.732181787490844727e+00	5.700046420097351074e-01	-6.981401145458221436e-02	0.000000000000000000e+00	0.000000000000000000e+00
1.643466186523437500e+01	2.417035865783691406e+01	1.143663972616195679e-01	-1.888382196426391602e+00	5.687111616134643555e-01	-7.757122814655303955e-02	0.000000000000000000e+00	0.000000000000000000e+00
1.643675994873046875e+01	2.413628005981445312e+01	1.258567273616790771e-01	-2.044604778289794922e+00	5.672885179519653320e-01	-8.532842248678207397e-02	0.000000000000000000e+00	0.000000000000000000e+00
1.643905067443847656e+01	2.409959793090820312e+01	1.373624652624130249e-01	-2.200851440429687500e+00	5.657368898391723633e-01	-9.308561682701110840e-02	0.000000000000000000e+00	0.000000000000000000e+00
1.644153404235839844e+01	2.406031036376953125e+01	1.488849520683288574e-01	-2.357124567031860352e+00	5.640558004379272461e-01	-1.008427888154983521e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.644420814514160156e+01	2.401841735839843750e+01	1.604255735874176025e-01	-2.513426780700683594e+00	5.622455477714538574e-01	-1.085999757051467896e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.644707489013671875e+01	2.397392082214355469e+01	1.719856560230255127e-01	-2.669759988784790039e+00	5.603061318397521973e-01	-1.163571476936340332e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.645013427734375000e+01	2.392681884765625000e+01	1.835665255784988403e-01	-2.826126575469970703e+00	5.582374930381774902e-01	-1.241142973303794861e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.645338630676269531e+01	2.387710952758789062e+01	1.951694339513778687e-01	-2.982529163360595703e+00	5.560395121574401855e-01	-1.318713873624801636e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.645683288574218750e+01	2.382479286193847656e+01	2.067957222461700439e-01	-3.138969898223876953e+00	5.537122488021850586e-01	-1.396284550428390503e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.646047401428222656e+01	2.376986885070800781e+01	2.184466570615768433e-01	-3.295451164245605469e+00	5.512557625770568848e-01	-1.473855078220367432e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.646430969238281250e+01	2.371233558654785156e+01	2.301234602928161621e-01	-3.451974868774414062e+00	5.486700534820556641e-01	-1.551425755023956299e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.646833992004394531e+01	2.365219306945800781e+01	2.418273836374282837e-01	-3.608544588088989258e+00	5.459551811218261719e-01	-1.628995686769485474e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.647256660461425781e+01	2.358943939208984375e+01	2.535596191883087158e-01	-3.765161514282226562e+00	5.431109070777893066e-01	-1.706565320491790771e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.647698783874511719e+01	2.352407455444335938e+01	2.653213143348693848e-01	-3.921828508377075195e+00	5.401374101638793945e-01	-1.784134060144424438e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.648160552978515625e+01	2.345609855651855469e+01	2.771136164665222168e-01	-4.078547477722167969e+00	5.370346903800964355e-01	-1.861702799797058105e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.648642158508300781e+01	2.338550758361816406e+01	2.889376878738403320e-01	-4.235320568084716797e+00	5.338025689125061035e-01	-1.939272135496139526e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.649143409729003906e+01	2.331230354309082031e+01	3.007946312427520752e-01	-4.392151355743408203e+00	5.304412841796875000e-01	-2.016840577125549316e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.649664688110351562e+01	2.323648262023925781e+01	3.126853704452514648e-01	-4.549041271209716797e+00	5.269508361816406250e-01	-2.094408869743347168e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.650205612182617188e+01	2.315804672241210938e+01	3.246110975742340088e-01	-4.705993652343750000e+00	5.233309268951416016e-01	-2.171976566314697266e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.650766754150390625e+01	2.307699203491210938e+01	3.365727663040161133e-01	-4.863010883331298828e+00	5.195817947387695312e-01	-2.249544113874435425e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.651347923278808594e+01	2.299332046508789062e+01	3.485712409019470215e-01	-5.020095348358154297e+00	5.157032608985900879e-01	-2.327111214399337769e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.651947402954101562e+01	2.290702056884765625e+01	3.596268594264984131e-01	-5.177803516387939453e+00	5.117063522338867188e-01	-2.398250699043273926e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.652563858032226562e+01	2.281808090209960938e+01	3.697457015514373779e-01	-5.336122989654541016e+00	5.076013207435607910e-01	-2.463034391403198242e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.653195571899414062e+01	2.272649383544921875e+01	3.789731860160827637e-01	-5.495018005371093750e+00	5.033982396125793457e-01	-2.521789968013763428e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.653841400146484375e+01	2.263224983215332031e+01	3.873524665832519531e-01	-5.654453277587890625e+00	4.991069436073303223e-01	-2.574830651283264160e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.654499816894531250e+01	2.253533935546875000e+01	3.949248790740966797e-01	-5.814396381378173828e+00	4.947361648082733154e-01	-2.622456848621368408e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.655169486999511719e+01	2.243575477600097656e+01	4.017298817634582520e-01	-5.974814414978027344e+00	4.902946650981903076e-01	-2.664955556392669678e-01	0.000000000000000000e+00	0.000000000000000000e+00
